StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_NPS_GROUP,Q2,Q2.1,Q2.2,Q2.3,Q3.0_1,Q3.0_2,Q3.0_3,Q3.0_4,Q4.0_1,Q4.0_2,Q4.0_3,Q4.0_4,Q4.0_5,Q5.0_1,Q5.0_2,Q5.0_3,Q5.0_4,Q5.0_5,Q6.0,Q7.0,Q8.0,Q16
2026-04-06 17:13:56,2026-04-06 17:16:33,IP Address,100,157,True,2026-04-06 17:16:33,R_9WutZ9xqOzSBV9D,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Passive,8,,Great course,,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,This microcert was more contextual information,Assignments were great at applying the learning,"Modules should be broken down in week by week structure.  I found it really hard to follow despite at least 2 people asking the question, it would have been better if the reading were according to the weeks.",I consent
2026-04-08 16:07:51,2026-04-08 16:09:43,IP Address,100,112,True,2026-04-08 16:09:44,R_4E9xDqpt550LJsZ,anonymous,EN,Strongly agree,Neither agree nor disagree,Slightly agree,Strongly agree,Strongly agree,Passive,8,,Enjoyed the course overall and learnt a lot,,Neither agree nor disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,,,,
2026-04-08 16:30:23,2026-04-08 16:32:31,IP Address,100,128,True,2026-04-08 16:32:31,R_4iJDLMRPGgLM4CV,anonymous,EN,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Promoter,9,,,"Matt was great, the learning experience was tailored to working professionals and the content was interesting",Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,,,,
2026-04-08 16:36:14,2026-04-08 16:39:12,IP Address,100,177,True,2026-04-08 16:39:12,R_9JQKchx7B5pNdyj,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,"The course content, structure and delivery mechanism worked really well for me and i found the discussions interesting and engaging. I also found the assessment requirements to be flexible enough to fit our working schedules.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,I consent
2026-04-08 16:51:55,2026-04-08 16:53:48,IP Address,100,112,True,2026-04-08 16:53:48,R_4fTZzhqIouSjt32,anonymous,EN,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
2026-04-08 17:57:50,2026-04-08 18:05:17,IP Address,100,447,True,2026-04-08 18:05:17,R_9kGpUUHFB7KDpmF,anonymous,EN,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Passive,8,,"My experience was really positive, the lecturer was great and engaging. Having gone to uni previously I did take a bit of adjusting to a microcert (in terms of course length and managing my time with fulltime work). I would like to undertake another microcert through Melb uni at some point with this in mind.",,Strongly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,I work in a space very much related to the Microcert topic (Treaty) I was given agency to choose in the two assignments to compare Treaty with legislation I currently work with (very practical) and international legislation of personal interest.,"The flexibility and understanding from the lecturer that it is different to an undergraduate course, the intent is to learn more about one specific topic from a theoretical aspect. The assignments weren't long but more focused on showcasing understanding of core concept which I liked ",,I consent
2026-04-08 19:13:42,2026-04-08 19:16:39,IP Address,100,177,True,2026-04-08 19:16:39,R_9n0O7ihCRc8MUQN,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,"Accessible structure, realistic workload, directly relevant to my job, valuable new learning",Slightly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,N/A,Strongly agree,,,,
2026-04-08 20:13:20,2026-04-08 20:16:16,IP Address,100,175,True,2026-04-08 20:16:16,R_4n1tAN1NVAeaomn,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,,Strongly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Strongly agree,,,,
2026-04-09 10:31:04,2026-04-09 10:38:34,IP Address,100,449,True,2026-04-09 10:38:34,R_4TuZAi7F9SpPEFb,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,9,,,Great course and lecturer. I learned a lot about the long history of treaties and what they actually are. I found the detailed feedback provided on assignments to be very helpful..,Strongly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Strongly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Provides me with a new perspective on treaty and the historical challenges.,Lecturer and self-paced learning modules. Really well laid out using different types of resources and media.,N/A,
2026-04-09 22:59:47,2026-04-09 23:02:23,IP Address,100,155,True,2026-04-09 23:02:23,R_45wiNUPRxZdmrRf,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,,,"The content was very interesting, and important ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,N/A,,,,
2026-04-10 07:00:47,2026-04-10 07:05:58,IP Address,100,311,True,2026-04-10 07:05:58,R_41TxeFQCKeY6S5I,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Promoter,9,,,,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,I consent
2026-04-12 17:53:30,2026-04-12 17:59:20,IP Address,100,349,True,2026-04-12 17:59:20,R_4Jx9GHGxevXyTvy,anonymous,EN,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Detractor,6,I didn't find the group tutorials very helpful as I was hoping for more of a lecture style experience based on the provided resources than a group discussion,,,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,"This course has increased my understanding of treaty, and what it is (and isn't) and has helped me to bring a more educated perspective to discussions around treaty in the workplace",I actually liked the structured assignments as this gave me clarity on expectations and held me to account with due dates,The tutorials need to be more structured around the course content- perhaps have the tutorials run separately to open group discussions or hold the group discussion at the end of the tutorial,I consent
2026-04-13 16:14:28,2026-04-13 16:16:20,IP Address,100,111,True,2026-04-13 16:16:20,R_94AWAeDmNprPQyc,anonymous,EN,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Promoter,10,,,"The resources were tailored appropriately, and Matt is an engaging and pragmatic teacher. ",Strongly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
2026-04-13 17:56:42,2026-04-13 18:07:25,IP Address,100,643,True,2026-04-13 18:07:26,R_9F2RtuxXAXfdklW,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Promoter,10,,,The course is a good way to learn about the Treaty process.,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Neither agree nor disagree,Strongly agree,To apply concepts learnt to better communicate when working with First Nations People.,Learning what has worked and what hasn't in historical Treaty processes.,The webinars should go through the readings and possibly discuss the questions asked through the modules.,
2026-04-08 16:05:10,2026-04-08 16:05:15,IP Address,14,4,False,2026-04-15 16:05:15,R_4ELuKd1rJBZp9hD,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08 16:45:11,2026-04-08 16:48:57,IP Address,14,225,False,2026-04-15 16:48:58,R_4Q3dcWul4TX7Hfb,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08 17:07:11,2026-04-08 17:07:24,IP Address,14,12,False,2026-04-15 17:07:25,R_44dQQJazOe1rx4i,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08 17:09:20,2026-04-08 17:09:46,IP Address,14,26,False,2026-04-15 17:09:49,R_4qf9Ao4un19P6rT,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13 18:18:45,2026-04-13 18:18:55,IP Address,14,10,False,2026-04-20 18:18:56,R_941weqytClbB8Wr,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
